ID,INCHIKEY,CAS#,KRAKEN_ID,SMILES
354,HGHOYIFINVBZKO-UHFFFAOYSA-N,60254-10-6,90000001,Oc1ccccc1P(c1ccccc1)c1ccccc1
382,UYRPRYSDOVYCOU-UHFFFAOYSA-N,17261-28-8,90000002,O=C(O)c1ccccc1P(c1ccccc1)c1ccccc1
394,OTSIFUHGOBFOTH-UHFFFAOYSA-N,1/3/48,90000003,O=C(O)CCP(c1ccccc1)c1ccccc1
399,IWRBGJKCDORZHK-HNNXBMFYSA-N,60261-46-3,90000004,c1ccc(P(C[C@@H]2CCCN2)c2ccccc2)cc1
424,QUVUVMRUSAKOPB-UHFFFAOYSA-P,No CAS,90000005,CC(C)P(CCN)C(C)C
523,RXEPBCWNHKZECN-UHFFFAOYSA-O,1222630-32-1,90000006,NCCP(c1ccccc1)c1ccccc1
526,SGBNMEAXYLJQRV-QGZVFWFLSA-N,286454-86-2,90000007,CC(C)(C)[C@H](N)CP(c1ccccc1)c1ccccc1
594,ZZLCXURCZWQECA-QGZVFWFLSA-N,146476-37-1,90000008,CC(C)[C@H](N)CP(c1ccccc1)c1ccccc1
596,ARSGXAZDYSTSKI-UHFFFAOYSA-N,10150-27-3,90000009,c1ccc(P(CCc2ccccn2)c2ccccc2)cc1
597,DQZWMOWSTWWMPP-UHFFFAOYSA-N,16605-03-1,90000010,NCCCP(c1ccccc1)c1ccccc1
598,YICAEXQYKBMDNH-UHFFFAOYSA-N,4706-17-6,90000011,OCCCP(CCCO)CCCO
599,PZBFGYYEXUXCOF-UHFFFAOYSA-N,5961-85-3,90000012,O=C(O)CCP(CCC(=O)O)CCC(=O)O
607,JMXMXKRNIYCNRV-UHFFFAOYSA-N,2767-80-8,90000013,OCP(CO)CO
616,PZBFGYYEXUXCOF-UHFFFAOYSA-O,51805-45-9,90000014,O=C(O)CCP(CCC(=O)O)CCC(=O)O
829,DZDGRVHIUYIMDS-UHFFFAOYSA-P,No CAS,90000015,CC(C)(C)P(CCN)C(C)(C)C
889,PREMCOLELPAPBB-UHFFFAOYSA-P,No CAS,90000016,CC(C)(C)P(CCCN)C(C)(C)C
893,GXMHDTPYKRTARV-UHFFFAOYSA-N,2129-31-9,90000017,O=C(O)c1ccc(P(c2ccccc2)c2ccccc2)cc1
921,GJOGRUGECVQJBK-UHFFFAOYSA-N,3064-56-0,90000018,O=C(O)CP(c1ccccc1)c1ccccc1
1028,BEZZIJDXCBTGSM-UHFFFAOYSA-N,42381-53-3,90000019,O=C(O)CCCP(c1ccccc1)c1ccccc1
1074,KCZJRRMOUCHUFT-UHFFFAOYSA-O,350021-81-7,90000020,CNCCP(c1ccccc1)c1ccccc1
1075,MCNWRGVXJSQPAY-UHFFFAOYSA-O,29679-67-2,90000021,CN(C)CCP(c1ccccc1)c1ccccc1
1076,KZVDFULOZMEUAR-UHFFFAOYSA-N,79416-06-1,90000022,C[N+](C)(C)CCP(c1ccccc1)c1ccccc1
1077,FXZLETFRNQFTRM-UHFFFAOYSA-O,102604-20-6,90000023,c1ccc(P(CCN2CCCC2)c2ccccc2)cc1
1078,SXPXCMLARZQWCJ-UHFFFAOYSA-O,2305926-84-3,90000024,CNCCCP(c1ccccc1)c1ccccc1
1079,AFIXXRLDBNCOPA-UHFFFAOYSA-O,961-04-6,90000025,CN(C)CCCP(c1ccccc1)c1ccccc1
1080,XSGPGVXRRDQPDJ-UHFFFAOYSA-N,119703-11-6,90000026,O=S(=O)(O)CCCP(c1ccccc1)c1ccccc1
1081,LFOTUQHNHNNAHD-UHFFFAOYSA-O,No CAS,90000027,c1ccc(P(CCCN2CCCC2)c2ccccc2)cc1
1122,LLJZSJJHIKIHRD-UHFFFAOYSA-N,111831-39-1,90000028,O=S(=O)(O)CCP(c1ccccc1)c1ccccc1
1123,XSGPGVXRRDQPDJ-UHFFFAOYSA-M,119703-09-2,90000029,O=S(O)(CCCP(c1ccccc1)c2ccccc2)=O
1124,ZFHKTVKTODLXRW-CYBMUJFWSA-N,144085-41-6,90000030,CC(N)CP(c1ccccc1)c1ccccc1
