KRAKEN_ID,INCHI_KEY,SMILES
00000003,VNFWTIYUKDMAOP-UHFFFAOYSA-N,COc1cccc(OC)c1-c1ccccc1P(C1CCCCC1)C1CCCCC1
00000015,IIOSDXGZLBPOHD-UHFFFAOYSA-N,COc1ccccc1P(c1ccccc1OC)c1ccccc1OC
00000030,HFFHNJKBAYQARL-UHFFFAOYSA-N,CC(C)(C)P(C1CCCCC1)C(C)(C)C
00000062,UYUUAUOYLFIRJG-UHFFFAOYSA-N,COc1ccc(P(c2ccc(OC)cc2)c2ccc(OC)cc2)cc1
00000068,VPLLTGLLUHLIHA-UHFFFAOYSA-N,c1ccc(P(C2CCCCC2)C2CCCCC2)cc1
00000069,RKUHKZXJHGGGSK-UHFFFAOYSA-N,CN(C)c1ccc(P(C2CCCCC2)C2CCCCC2)cc1
00000079,IGNTWNVBGLNYDV-UHFFFAOYSA-N,CC(C)P(C(C)C)C(C)C
00000084,PDDYFPPQDKRJTK-UHFFFAOYSA-N,C=CCP(c1ccccc1)c1ccccc1
00000089,REWLCYPYZCHYSS-UHFFFAOYSA-N,COc1ccc(OC)c(P(C(C)(C)C)C(C)(C)C)c1-c1c(C(C)C)cc(C(C)C)cc1C(C)C
00000102,WDVGNXKCFBOKDF-UHFFFAOYSA-N,COc1ccc(OC)c(P(C2CCCCC2)C2CCCCC2)c1-c1c(C(C)C)cc(C(C)C)cc1C(C)C
00000104,KYTUFIMHJNRPLC-UHFFFAOYSA-N,COc1ccc(OC)c(P(c2cc(C(F)(F)F)cc(C(F)(F)F)c2)c2cc(C(F)(F)F)cc(C(F)(F)F)c2)c1-c1c(C(C)C)cc(C(C)C)cc1C(C)C
00000116,GOEGBJDTWXTPHP-UHFFFAOYSA-N,CN(C)c1ccc(P(c2ccccc2)c2ccccc2)cc1
00000130,GBXNVYBGIFEOEM-UHFFFAOYSA-N,COc1ccccc1P(c1ccccc1)c1ccccc1
00000139,JCRCPEDXAHDCAJ-UHFFFAOYSA-N,CCOP(c1ccccc1)c1ccccc1
00000148,BDZBKCUKTQZUTL-UHFFFAOYSA-N,CCOP(OCC)OCC
00000217,UBTLQANULOJJIY-UHFFFAOYSA-N,Cc1ccc(N2CN(c3ccc(C)cc3)CP(c3ccccc3)C2)cc1
00000239,RMZAYIKUYWXQPB-UHFFFAOYSA-N,CCCCCCCCP(CCCCCCCC)CCCCCCCC
00000251,GNFABDZKXNKQKN-UHFFFAOYSA-N,C=CCP(CC=C)CC=C
00000280,UJONYAVMBYXBJQ-UHFFFAOYSA-N,Cc1ccccc1-c1ccccc1P(C(C)(C)C)C(C)(C)C
00000327,ZMENEJKATASVIH-UHFFFAOYSA-N,c1ccc(-c2nn(-c3ccccc3)c(-c3ccccc3)c2-n2nccc2P(C2CCCCC2)C2CCCCC2)cc1
00000329,PFJAHDIIEPTASS-UHFFFAOYSA-N,Cn1c(-c2ccccc2P(C2CCCCC2)C2CCCCC2)cc2ccccc21
00000338,FPQYIRBFZLNVLL-UHFFFAOYSA-N,C1CCN(CC1)c1ccccc1P(C12CC3CC(C2)CC(C1)C3)C12CC3CC(C2)CC(C1)C3
00000340,IHFBOUNFWVRWAQ-UHFFFAOYSA-N,c1ccc(cc1)c1nn(c(c1n1nccc1P(C12CC3CC(C2)CC(C1)C3)C12CC3CC(C2)CC(C1)C3)c1ccccc1)c1ccccc1
00000351,FMNOWZMFKYVARU-UHFFFAOYSA-N,CCP(CC)c1ccc(N(C)C)cc1
00000401,BWXYDSDVFPJTFY-GIMINZRKSA-N,Cc1ccc(S(=O)(=O)N2C[C@@H]3C[C@H]2C[P@]3c2ccccc2)cc1
00000449,FDIOSTIIZGWENY-UHFFFAOYSA-N,CCN(CC)P(N(CC)CC)N(CC)CC
00000458,YMJAIEYASUCCMJ-UHFFFAOYSA-N,c1ccc(P(c2ccccc2)c2ccc3ccccc3c2-c2nccc3ccccc23)cc1
00000487,JKFFEJFWOMHYDX-UHFFFAOYSA-N,FC(F)(F)C(F)(F)C(F)(F)C(Cc1ccc(P(c2ccccc2)c2ccc(CC(C(F)(F)F)(C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)F)cc2)cc1)(C(F)(F)F)C(F)(F)F
00000640,JDAKPBBWYIWXJF-UHFFFAOYSA-N,CCN(CC)P1OCc2ccccc2CO1
00000644,JSVDMQKVGLGYCM-UHFFFAOYSA-N,CC1(C)COP(Oc2ccccc2)OC1
00000648,YGFLCNPXEPDANQ-UHFFFAOYSA-N,CC(C)N(C(C)C)P(OC(C)(C)C)OC(C)(C)C
00000650,NLGUJOVLAXLSMX-UHFFFAOYSA-N,CCN(CC)P(OCc1ccccc1)OCc1ccccc1
